name,measurementDate,measurementTime,Latitude,Longitude,Temperature,Humidity,Pression,PM25,PM10
1,17/05/2021,01:56:52,0,0,27.7,48.95,100.81,43.18,0
1,17/05/2021,01:56:53,0,0,27.69,48.73,100.81,42.84,23.83
1,17/05/2021,01:56:54,0,0,27.69,48.46,100.8,43.79,18.36
1,17/05/2021,01:56:55,0,0,27.69,47.95,100.81,43.08,15.23
1,17/05/2021,01:56:56,0,0,27.68,47.34,100.81,42.67,24.02
1,17/05/2021,01:56:57,0,0,27.68,46.82,100.81,42.98,21.87
1,17/05/2021,01:56:58,0,0,27.69,46.39,100.81,43.25,20.7
1,17/05/2021,01:56:59,0,0,27.68,45.95,100.81,42.91,18.75
1,17/05/2021,01:57:00,0,0,27.68,45.52,100.81,43.15,35.55
1,17/05/2021,01:57:01,0,0,27.67,45.28,100.81,43.05,21.48
1,17/05/2021,01:57:02,0,0,27.67,45.47,100.8,43.35,28.12
1,17/05/2021,01:57:03,0,0,27.67,45.48,100.81,43.05,29.3
1,17/05/2021,01:57:04,0,0,27.67,45.23,100.81,42.64,32.62
1,17/05/2021,01:57:05,0,0,27.67,45.02,100.81,42.57,79.1
1,17/05/2021,01:57:06,0,0,27.67,44.83,100.81,42.57,16.99
1,17/05/2021,01:57:07,0,0,27.68,44.7,100.81,42.91,16.8
1,17/05/2021,01:57:08,0,0,27.66,44.51,100.81,42.94,27.15
1,17/05/2021,01:57:09,0,0,27.67,44.33,100.81,42.64,37.11
1,17/05/2021,01:57:10,0,0,27.66,44.18,100.81,43.42,19.73
1,17/05/2021,01:57:11,0,0,27.66,43.98,100.81,43.18,25.39
1,17/05/2021,01:57:12,0,0,27.66,43.89,100.81,43.18,26.17
1,17/05/2021,01:57:13,0,0,27.66,43.73,100.81,43.18,22.66
1,17/05/2021,01:57:14,0,0,27.65,43.63,100.81,42.84,25.98
1,17/05/2021,01:57:15,0,0,27.65,43.46,100.81,42.84,28.32
1,17/05/2021,01:57:16,0,0,27.65,43.34,100.81,43.79,21.29
1,17/05/2021,01:57:17,0,0,27.66,42.91,100.82,43.24,34.96
1,17/05/2021,01:57:18,0,0,27.66,43.12,100.81,43.24,19.34
1,17/05/2021,01:57:19,0,0,27.66,43.01,100.81,43.18,22.27
1,17/05/2021,01:57:20,0,0,27.66,42.94,100.81,43.24,24.22
1,17/05/2021,01:57:21,0,0,27.66,42.86,100.81,43.01,36.33
1,17/05/2021,01:57:22,0,0,27.64,42.95,100.8,42.73,20.9
1,17/05/2021,01:57:23,0,0,27.64,42.73,100.8,42.97,24.8
1,17/05/2021,01:57:24,0,0,27.65,42.71,100.81,43.31,19.34
1,17/05/2021,01:57:25,0,0,27.64,42.54,100.81,42.97,22.27
1,17/05/2021,01:57:26,0,0,27.64,42.66,100.81,43.04,30.66
1,17/05/2021,01:57:27,0,0,27.63,42.63,100.81,43.11,33.79
1,17/05/2021,01:57:28,0,0,27.64,42.54,100.81,42.5,30.86
1,17/05/2021,01:57:29,0,0,27.63,42.53,100.81,43.11,25.2
1,17/05/2021,01:57:30,0,0,27.64,42.43,100.81,43.21,26.17
1,17/05/2021,01:57:31,0,0,27.64,42.41,100.81,43.04,27.15
1,17/05/2021,01:57:32,0,0,27.63,42.34,100.81,43.11,26.95
1,17/05/2021,01:57:33,0,0,27.63,42.29,100.81,43.58,31.25
1,17/05/2021,01:57:34,0,0,27.63,42.25,100.81,43.58,17.77
1,17/05/2021,01:57:35,0,0,27.64,42.2,100.81,43.27,25.98
1,17/05/2021,01:57:36,0,0,27.63,42.17,100.81,43.34,35.74
1,17/05/2021,01:57:37,0,0,27.63,42.2,100.8,43.58,74.61
1,17/05/2021,01:57:38,0,0,27.63,42.27,100.81,42.63,24.61
1,17/05/2021,01:57:39,0,0,27.64,42.32,100.81,43.21,30.47
1,17/05/2021,01:57:40,0,0,27.63,42.34,100.8,43.58,29.69
1,17/05/2021,01:57:41,0,0,27.63,42.24,100.81,43.11,16.21
1,17/05/2021,01:57:42,0,0,27.62,42.33,100.8,43.24,52.15
1,17/05/2021,01:57:43,0,0,27.63,42.33,100.81,43.58,80.86
1,17/05/2021,01:57:44,0,0,27.63,42.44,100.81,43.11,25
1,17/05/2021,01:57:45,0,0,27.62,42.35,100.81,43.48,29.88
1,17/05/2021,01:57:46,0,0,27.63,42.37,100.81,43.34,30.86
1,17/05/2021,01:57:47,0,0,27.63,42.37,100.81,43.34,22.85
1,17/05/2021,01:57:48,0,0,27.64,42.31,100.81,43.51,21.68
1,17/05/2021,01:57:49,32.64838,-115.415702,27.64,42.26,100.81,43.45,13.87
1,17/05/2021,01:57:50,32.64838,-115.415702,27.63,42.2,100.81,42.87,15.43
1,17/05/2021,01:57:51,32.64838,-115.41571,27.63,42.16,100.8,43.11,30.47
1,17/05/2021,01:57:52,32.64838,-115.41571,27.63,42.18,100.81,42.94,14.26
1,17/05/2021,01:57:53,32.64838,-115.415718,27.62,42.07,100.8,43.71,35.16
1,17/05/2021,01:57:54,32.64838,-115.41571,27.64,42.1,100.81,43.45,25.98
1,17/05/2021,01:57:55,32.64838,-115.41571,27.63,42.15,100.8,42.7,30.47
